Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0006-D.A.V. COLLEGE, BULANDSHAHR","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0007-I.P.COLLEGE, BULANDSHAHAR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0010-SHYAM LAL SARASWATI MAHAVIDYALAYA, SHIKARPUR, BULANDSHAR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0012-GAURI SHANKER KANYA MAHAVIDYALAYA, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0013-DR. RAM MANOHAR LOHIA CHOBISA MAHAVIDYALAYA, MOHANA, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",0043-A.K.P. DEGREE COLLEGE KHURJA (BULANDSHAHAR),Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0089-SHIV MANDIR CHHUTTAN LAL KAKA GIRLS DEGREE COLLEGE, KHATTRI BARA, SIKANDRABAD (BSR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0119-SH. HOTI SINGH MAHENDRA SINGH ADARSH KANYA MAHAVIDYALAYA, PAHASU, BULANDSHAHR",Bulandshahr,M.A.,History,G-837,01.01.2025,10:00 AM Onwards
